[0.0s-2.9s] 抖音总是给我推送那些美丽的擦边小姐姐
[2.9s-4.6s] 他也知道我喜欢看这种东西
[5.2s-6.3s] 但我一直有一个观点
[6.3s-9.9s] 我觉得这个擦边视频他也没什么特别的危害
[9.9s-13.5s] 但是他实际上是完成了一件以前从来没有做过的事情
[13.8s-16.0s] 他把性魅力这个东西金融化了
[16.4s-19.2s] 很多人一直没有搞明白这些平台里面的短视频
[19.2s-20.8s] 他真正重新定价的
[20.8s-22.8s] 他不是性而是性魅力
[23.2s-24.8s] 性他本来就有价格的
[24.8s-28.0s] 从古到今不管是寄院 色情产业
[28.3s-29.6s] 还是各种灰色交易
[29.7s-31.2s] 性他一直是有市场的
[31.6s-32.7s] 也一直有价格
[33.1s-33.9s] 说得直白一点
[33.9s-35.7s] 性本身它是一种现货商品
[35.7s-36.7s] 你付钱我交付
[36.7s-37.9s] 这个是现货市场
[38.5s-39.7s] 但是魅力不一样
[39.7s-41.8s] 魅力这个东西到底值多少钱
[41.8s-42.8s] 漂亮这多少钱
[42.8s-43.9s] 年轻值多少钱
[44.3s-45.4s] 身材值多少钱
[45.7s-46.8s] 性感值多少钱
[47.4s-49.0s] 一个男人有魅力值多少钱
[49.4s-50.2s] 过去没有答案
[50.5s-53.5s] 因为魅力这个东西他从来都是在关系内部定价
[54.0s-55.7s] 你在一个人的眼里价值连成
[55.7s-57.7s] 但是在另一个人眼里可能一分不值
[58.2s-59.3s] 他没有统一的价格
[59.3s-60.5s] 也没有统一的市场
[60.5s-61.8s] 更没有统一的报价
[62.1s-64.6s] 但是短视频平台出现以后一切都变了
[65.1s-68.0s] 通过点赞 评论 播放量
[68.0s-70.6s] 粉丝打赏 私信这些东西
[71.0s-72.2s] 他看起来只是数据
[72.2s-74.1s] 其实他们共同完成了一件
[74.2s-75.8s] 以前从来没有做过的事情
[75.8s-78.6s] 就是他第一次给性魅力这个东西
[78.6s-81.2s] 建立了一套公开的报价系统
[81.5s-84.6s] 于是人类历史上第一次魅力这个事情
[84.6s-86.1s] 它是有了市场价格
[86.6s-89.0s] 平台就像建了一个24小时不停交易的
[89.0s-90.0s] 证券交易所
[90.0s-91.6s] 当然他交易的是魅力
[91.9s-93.6s] 每一个点赞都是一次报价
[93.6s-95.4s] 每一个评论都是一次询价
[95.8s-98.1s] 每一个打赏都是一次真实的成交
[98.4s-99.4s] 但是更确切的说
